ts_utc,sym,expiry,dte,spot,strike,cp,bid,ask,mid,last,volume,open_interest,iv,delta,gamma,vega,theta,day_open,day_high,day_low,prev_close
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,515.0,C,222.13,225.65,223.89,222.4,6,0,0.0,1.0,0.0,0.0,-0.0001,222.23,222.4,222.23,225.525
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,520.0,C,217.12,220.72,218.92,217.42,6,0,0.0,1.0,0.0,0.0,-0.0001,217.3,217.42,217.3,220.625
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,555.0,C,182.12,185.37,183.745,182.19,1,0,0.0,1.0,0.0,0.0,-0.0003,182.19,182.19,182.19,185.67
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,560.0,C,177.12,180.39,178.755,177.24,1,0,0.0,1.0,0.0,0.0,-0.0004,177.24,177.24,177.24,180.655
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,570.0,C,167.11,169.77,168.44,167.01,1,0,0.0,0.9999,0.0,0.0,-0.0006,167.01,167.01,167.01,170.645
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,575.0,C,162.11,164.85,163.48,162.06,1,0,0.0,0.9999,0.0,0.0,-0.0007,162.06,162.06,162.06,165.76
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,600.0,C,137.11,139.85,138.48,136.78,10,10,0.0,0.9998,0.0,0.0001,-0.0014,136.78,136.78,136.78,140.715
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,640.0,C,97.1,100.12,98.61,96.51,2,3,0.0,0.9995,0.0,0.0002,-0.0038,96.57,96.57,96.51,100.78
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,645.0,C,92.11,94.91,93.51,91.56,2,0,0.0,0.9994,0.0001,0.0002,-0.0042,91.62,91.62,91.56,95.695
2026-09-24T18:23:53+00:00,QQQ,2026-09-24,0,739.2164,665.0,C,72.11,75.12,73.615,71.01,7,0,0.0,0.999,0.0001,0.0004,-0.0064,70.56,71.01,70.43,75.635
